0:0:0:0:0:0:0:1 - - [24/Dec/2024:16:48:34 +0900] "GET /join/join/view/board/images/level.gif HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [24/Dec/2024:16:48:34 +0900] "GET /join/join/view/board/images/re.gif HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [24/Dec/2024:16:48:35 +0900] "GET /join/join/view/board/content.jsp?num=14&pageNum=1 HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [24/Dec/2024:16:48:37 +0900] "GET /join/join/view/board/deleteProc.jsp?num=14&pageNum=1 HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [24/Dec/2024:16:48:40 +0900] "GET /join/join/view/board/content.jsp?num=14&pageNum=1 HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [24/Dec/2024:16:48:40 +0900] "GET /join/join/view/board/deleteProc.jsp?num=14&pageNum=1 HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [24/Dec/2024:16:48:43 +0900] "GET /join/join/view/board/list.jsp?pageNum=1 HTTP/1.1" 200 6539
0:0:0:0:0:0:0:1 - - [24/Dec/2024:16:48:43 +0900] "GET /join/join/view/board/images/re.gif HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [24/Dec/2024:16:48:43 +0900] "GET /join/join/view/board/images/hot.gif HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [24/Dec/2024:16:48:43 +0900] "GET /join/join/view/board/images/level.gif HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [24/Dec/2024:16:48:50 +0900] "GET /join/join/view/board/content.jsp?num=15&pageNum=1 HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [24/Dec/2024:16:48:51 +0900] "GET /join/join/view/board/deleteProc.jsp?num=15&pageNum=1 HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [24/Dec/2024:16:48:58 +0900] "GET /join/join/view/board/content.jsp?num=14&pageNum=1 HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [24/Dec/2024:16:49:01 +0900] "GET /join/join/view/board/deleteProc.jsp?num=14&pageNum=1 HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [24/Dec/2024:16:58:33 +0900] "GET /join/join/view/board/content.jsp?num=14&pageNum=1 HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [24/Dec/2024:16:58:33 +0900] "GET /join/join/view/board/content.jsp?num=14&pageNum=1 HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [24/Dec/2024:16:58:34 +0900] "GET /join/join/view/board/content.jsp?num=14&pageNum=1 HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [24/Dec/2024:16:58:34 +0900] "GET /join/join/view/board/content.jsp?num=14&pageNum=1 HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [24/Dec/2024:16:58:34 +0900] "GET /join/join/view/board/deleteProc.jsp?num=14&pageNum=1 HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [24/Dec/2024:16:58:36 +0900] "GET /join/join/view/board/list.jsp?pageNum=1 HTTP/1.1" 200 6539
0:0:0:0:0:0:0:1 - - [24/Dec/2024:16:58:36 +0900] "GET /join/join/view/board/images/re.gif HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [24/Dec/2024:16:58:36 +0900] "GET /join/join/view/board/images/hot.gif HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [24/Dec/2024:16:58:36 +0900] "GET /join/join/view/board/images/level.gif HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [24/Dec/2024:16:58:41 +0900] "GET /join/join/view/board/content.jsp?num=15&pageNum=1 HTTP/1.1" 200 1345
